Name,Age,Nationality,Division,Position,G,PA,AB,R,H,Singles,Doubles,Triples,HR,XBH,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SF,IBB
Whit Merrifield,30.0,USA,AL Central,2B,162,735,681,105,206,139,41,10,16,67,74,20,10,45,126,0.302,0.348,0.463,0.811,111,315,8,5,4,5
Rafael Devers,22.0,DR,AL East,3B,156,702,647,129,201,111,54,4,32,90,115,8,8,48,119,0.311,0.361,0.555,0.916,133,359,8,4,2,7
DJ LeMahieu,30.0,USA,AL East,2B,145,655,602,109,197,136,33,2,26,61,102,5,2,46,90,0.327,0.375,0.518,0.893,135,312,14,2,4,0
Xander Bogaerts,26.0,NED,AL East,SS,155,698,614,110,190,105,52,0,33,85,117,4,2,76,122,0.309,0.384,0.555,0.939,140,341,11,2,6,2
Ozzie Albies,22.0,NED,NL East,2B,160,702,640,102,189,114,43,8,24,75,86,15,4,54,112,0.295,0.352,0.500,0.852,112,320,2,4,4,6
Marcus Semien,28.0,USA,AL West,SS,162,747,657,123,187,104,43,7,33,83,92,10,8,87,102,0.285,0.369,0.522,0.892,140,343,11,2,1,2
Ketel Marte,25.0,DR,NL West,UTIL,144,628,569,97,187,110,36,9,32,77,92,10,2,53,86,0.329,0.389,0.592,0.981,148,337,7,4,2,2
Jorge Polanco,25.0,DR,AL Central,SS,153,704,631,107,186,117,40,7,22,69,79,4,3,60,116,0.295,0.356,0.485,0.841,122,306,11,4,7,2
Nolan Arenado,28.0,USA,NL West,3B,155,662,588,102,185,111,31,2,41,74,118,3,2,62,93,0.315,0.379,0.583,0.962,132,343,14,4,8,11
Charlie Blackmon,32.0,USA,NL West,OF,140,634,580,112,182,101,42,7,32,81,86,2,5,40,104,0.314,0.364,0.576,0.940,126,334,11,9,5,1
José Abreu,32.0,CUB,AL Central,1B,159,693,634,85,180,108,38,1,33,72,123,2,2,36,152,0.284,0.330,0.503,0.834,117,319,24,13,10,4
Michael Brantley,32.0,USA,AL West,OF,148,637,575,88,179,115,40,2,22,64,90,3,2,51,66,0.311,0.372,0.503,0.875,127,289,21,7,4,3
Nicholas Castellanos,27.0,USA,Multiple,OF,151,664,615,100,178,90,58,3,27,88,73,2,2,41,143,0.289,0.337,0.525,0.863,123,323,12,5,3,1
Amed Rosario,23.0,DR,NL East,SS,157,655,616,75,177,125,30,7,15,52,72,19,10,31,124,0.287,0.323,0.432,0.755,100,266,13,3,3,2
Jonathan Villar,28.0,DR,AL East,INF,162,714,642,111,176,114,33,5,24,62,73,40,9,61,176,0.274,0.339,0.453,0.792,110,291,8,4,4,0
Freddie Freeman,29.0,USA,NL East,1B,158,692,597,113,176,102,34,2,38,74,121,6,3,87,127,0.295,0.389,0.549,0.938,133,328,17,6,2,11
Mookie Betts,26.0,USA,AL East,OF,150,706,597,135,176,102,40,5,29,74,80,16,3,97,101,0.295,0.391,0.524,0.915,135,313,11,3,9,6
Ronald Acuna Jr.,21.0,VEN,NL East,OF,156,715,626,127,175,110,22,2,41,65,101,37,9,76,188,0.280,0.365,0.518,0.883,119,324,8,9,1,4
Trey Mancini,27.0,USA,AL East,UTIL,154,679,602,106,175,100,38,2,35,75,97,1,0,63,143,0.291,0.364,0.535,0.899,136,322,22,9,5,3
J.D. Martinez,31.0,USA,AL East,DH,146,657,575,98,175,104,33,2,36,71,105,2,0,72,138,0.304,0.383,0.557,0.939,140,320,19,4,5,9
Anthony Rendon,29.0,USA,NL East,3B,146,646,545,117,174,93,44,3,34,81,126,5,1,80,86,0.319,0.412,0.598,1.010,158,326,13,12,9,8
Trevor Story,26.0,USA,NL West,SS,145,656,588,111,173,95,38,5,35,78,85,23,8,58,174,0.294,0.363,0.554,0.917,121,326,3,7,3,0
David Fletcher,25.0,USA,AL West,INF,154,653,596,83,173,133,30,4,6,40,49,8,3,55,64,0.290,0.350,0.384,0.734,94,229,8,0,1,2
Starlin Castro,29.0,DR,NL East,2B,162,676,636,68,172,115,31,4,22,57,86,2,2,28,111,0.270,0.300,0.436,0.736,93,277,23,3,9,2
Eduardo Escobar,30.0,VEN,NL West,3B,158,699,636,94,171,97,29,10,35,74,118,5,1,50,130,0.269,0.320,0.511,0.831,110,325,8,3,10,3
Cesar Hernandez,29.0,VEN,NL East,2B,161,667,612,77,171,123,31,3,14,48,71,9,2,45,100,0.279,0.333,0.408,0.741,92,250,9,6,4,4
Cody Bellinger,23.0,USA,NL West,1B,156,661,558,121,170,86,34,3,47,84,115,15,5,95,108,0.305,0.406,0.629,1.035,169,351,10,3,4,21
Francisco Lindor,25.0,PR,AL Central,SS,143,654,598,101,170,96,40,2,32,74,74,22,5,46,98,0.284,0.335,0.518,0.854,117,310,13,3,6,9
Yuli Gurriel,35.0,CUB,AL West,1B,144,612,564,85,168,95,40,2,31,73,104,5,3,37,65,0.298,0.343,0.541,0.884,127,305,12,5,6,2
Tim Anderson,26.0,USA,AL Central,SS,123,518,498,81,167,117,32,0,18,50,56,17,5,15,109,0.335,0.357,0.508,0.865,127,253,12,3,2,0
Elvis Andrus,30.0,VEN,AL West,SS,147,648,600,81,165,122,27,4,12,43,72,31,8,34,96,0.275,0.313,0.393,0.707,78,236,16,4,10,1
Eric Hosmer,29.0,USA,NL West,1B,160,667,619,72,164,111,29,2,22,53,99,0,3,40,163,0.265,0.310,0.425,0.735,94,263,12,3,5,3
Alex Bregman,25.0,USA,AL West,3B,156,690,554,122,164,84,37,2,41,80,112,5,1,119,83,0.296,0.423,0.592,1.015,163,328,9,9,8,2
Jeff McNeil,27.0,USA,NL East,UTIL,133,567,510,83,162,100,38,1,23,62,75,5,6,35,75,0.318,0.384,0.531,0.916,142,271,5,21,1,2
Yoan Moncada,24.0,CUB,AL Central,3B,132,559,511,83,161,97,34,5,25,64,79,10,3,40,154,0.315,0.367,0.548,0.915,139,280,1,4,3,2
Leury Garcia,28.0,DR,AL Central,OF,140,618,577,93,161,123,27,3,8,38,40,15,5,21,139,0.279,0.310,0.378,0.688,82,218,6,6,3,0
Christian Yelich,27.0,USA,NL Central,OF,130,580,489,100,161,85,29,3,44,76,97,30,2,80,118,0.329,0.429,0.671,1.100,179,328,8,8,3,16
Carlos Santana,33.0,DR,AL Central,1B,158,686,573,110,161,96,30,1,34,65,93,4,0,108,108,0.281,0.397,0.515,0.911,135,295,13,3,2,12
Jean Segura,29.0,DR,NL East,SS,144,618,576,79,161,108,37,4,12,53,60,10,2,30,73,0.280,0.323,0.420,0.743,92,242,11,8,3,1
Hanser Alberto,26.0,DR,AL East,INF,139,550,524,62,160,125,21,2,12,35,51,4,4,16,50,0.305,0.329,0.422,0.751,99,221,9,4,3,1
Starling Marte,30.0,DR,NL Central,OF,132,586,539,97,159,99,31,6,23,60,82,25,6,25,94,0.295,0.342,0.503,0.845,118,271,15,16,4,1
Adam Eaton,30.0,USA,NL East,OF,151,656,566,103,158,111,25,7,15,47,49,15,3,65,106,0.279,0.365,0.428,0.792,105,242,8,13,3,0
Kevin Pillar,30.0,USA,Multiple,OF,161,645,611,83,158,97,37,3,21,61,88,14,5,18,89,0.259,0.287,0.432,0.719,88,264,15,9,7,4
Eugenio Suarez,27.0,VEN,NL Central,3B,159,662,575,87,156,83,22,2,49,73,103,3,2,70,189,0.271,0.358,0.572,0.930,129,329,12,11,6,4
Jorge Soler,27.0,CUB,AL Central,OF,162,679,589,95,156,74,33,1,48,82,117,3,1,73,178,0.265,0.354,0.569,0.922,137,335,16,10,4,3
Pete Alonso,24.0,USA,NL East,1B,161,693,597,103,155,70,30,2,53,85,120,1,0,72,183,0.260,0.358,0.583,0.941,145,348,13,21,3,6
Paul Goldschmidt,31.0,USA,NL Central,1B,161,682,597,97,155,95,25,1,34,60,97,3,1,78,166,0.260,0.346,0.476,0.821,116,284,11,2,3,2
Tommy Pham,31.0,USA,AL East,OF,145,654,567,77,155,99,33,2,21,56,68,25,4,81,123,0.273,0.369,0.450,0.818,121,255,22,5,1,4
Trea Turner,26.0,USA,NL East,SS,122,569,521,96,155,94,37,5,19,61,57,35,5,43,113,0.298,0.353,0.497,0.850,118,259,10,3,2,2
Eddie Rosario,27.0,PR,AL Central,OF,137,590,562,91,155,94,28,1,32,61,109,3,1,22,86,0.276,0.300,0.500,0.800,108,281,10,0,6,2
Austin Meadows,24.0,USA,AL East,OF,138,591,530,83,154,85,29,7,33,69,89,12,7,54,131,0.291,0.364,0.558,0.922,145,296,3,7,0,6
Bryan Reynolds,24.0,USA,NL Central,OF,134,546,491,83,154,97,37,4,16,57,68,3,2,46,121,0.314,0.377,0.503,0.880,129,247,9,6,3,0
Adam Frazier,27.0,USA,NL Central,2B,152,608,554,80,154,104,33,7,10,50,50,5,5,40,75,0.278,0.336,0.417,0.753,97,231,6,9,1,4
Kris Bryant,27.0,USA,NL Central,3B,147,634,543,108,153,86,35,1,31,67,77,4,0,74,145,0.282,0.382,0.521,0.903,133,283,10,15,2,1
Juan Soto,20.0,DR,NL East,OF,150,659,542,110,153,82,32,5,34,71,110,12,1,108,132,0.282,0.401,0.548,0.949,143,297,11,3,6,3
Gleyber Torres,22.0,VEN,AL East,INF,144,604,546,96,152,88,26,0,38,64,90,5,2,48,129,0.278,0.337,0.535,0.871,127,292,10,3,6,3
Kevin Newman,25.0,USA,NL Central,SS,130,531,493,61,152,114,20,6,12,38,64,16,8,28,62,0.308,0.353,0.446,0.800,109,220,5,7,1,2
Manny Machado,26.0,DR,NL West,3B,156,661,587,81,150,95,21,2,32,55,85,5,3,65,128,0.256,0.334,0.462,0.796,110,271,24,6,3,3
Anthony Rizzo,29.0,USA,NL Central,1B,146,613,512,89,150,91,29,3,27,59,94,5,2,71,86,0.293,0.405,0.520,0.924,140,266,15,27,3,3
Bryce Harper,26.0,USA,NL East,OF,157,682,573,98,149,77,36,1,35,72,114,15,3,99,178,0.260,0.372,0.510,0.882,127,292,10,6,4,11
Shin-Soo Choo,36.0,KOR,AL West,OF,151,660,563,93,149,92,31,2,24,57,61,15,1,78,165,0.265,0.371,0.455,0.826,109,256,6,18,1,3
Javier Baez,26.0,PR,NL Central,SS,138,561,531,89,149,78,38,4,29,71,85,11,7,28,156,0.281,0.316,0.531,0.847,116,282,16,0,2,3
Jose Altuve,29.0,VEN,AL West,2B,124,548,500,89,149,88,27,3,31,61,74,6,5,41,82,0.298,0.353,0.550,0.903,132,275,19,3,3,0
Yasiel Puig,28.0,CUB,Multiple,OF,149,611,555,76,148,92,30,2,24,56,84,19,7,44,133,0.267,0.327,0.458,0.785,97,254,13,8,4,1
J.T. Realmuto,28.0,USA,NL East,C,145,593,538,92,148,84,36,3,25,64,83,9,1,41,123,0.275,0.328,0.493,0.820,110,265,12,5,8,2
Alex Gordon,35.0,USA,AL Central,OF,150,633,556,77,148,103,31,1,13,45,76,5,3,51,100,0.266,0.345,0.396,0.741,95,220,13,19,6,4
Hunter Dozier,27.0,USA,AL Central,3B,139,586,523,75,146,81,29,10,26,65,84,2,2,55,148,0.279,0.348,0.522,0.870,124,273,9,3,5,2
Josh Bell,26.0,USA,NL Central,1B,143,613,527,94,146,69,37,3,37,77,116,0,1,74,118,0.277,0.367,0.569,0.936,141,300,11,5,7,13
Lorenzo Cain,33.0,USA,NL Central,OF,148,623,562,75,146,105,30,0,11,41,48,18,8,50,106,0.260,0.325,0.372,0.697,81,209,14,6,4,0
Matt Chapman,26.0,USA,AL West,3B,156,670,583,102,145,70,36,3,36,75,91,1,1,73,147,0.249,0.342,0.506,0.848,128,295,12,11,3,0
Freddy Galvis,29.0,VEN,Multiple,SS,147,589,557,67,145,93,28,1,23,52,70,4,2,28,145,0.260,0.296,0.438,0.734,91,244,14,1,2,1
José Iglesias,29.0,CUB,NL Central,SS,146,530,504,62,145,110,21,3,11,35,59,6,6,20,70,0.288,0.318,0.407,0.724,81,205,17,3,2,3
Andrew Benintendi,24.0,USA,AL East,OF,138,615,541,72,144,86,40,5,13,58,68,10,3,59,140,0.266,0.343,0.431,0.774,100,233,6,7,5,1
Josh Donaldson,33.0,USA,NL East,3B,155,659,549,96,142,72,33,0,37,70,94,4,2,100,155,0.259,0.379,0.521,0.900,124,286,13,8,2,2
Michael Conforto,26.0,USA,NL East,OF,151,648,549,90,141,78,29,1,33,63,92,7,2,84,149,0.257,0.363,0.494,0.856,126,271,11,10,5,5
Nelson Cruz,38.0,DR,AL Central,DH,120,521,454,81,141,74,26,0,41,67,108,0,1,56,131,0.311,0.392,0.639,1.031,169,290,14,7,3,8
Nick Ahmed,29.0,USA,NL West,SS,158,625,556,79,141,83,33,6,19,58,82,8,2,52,113,0.254,0.316,0.437,0.753,92,243,15,4,12,2
George Springer,29.0,USA,AL West,OF,122,556,479,96,140,78,20,3,39,62,96,6,2,67,113,0.292,0.383,0.591,0.974,151,283,12,6,4,1
Victor Robles,22.0,DR,NL East,OF,155,617,546,86,139,86,33,3,17,53,65,28,9,35,140,0.255,0.326,0.419,0.745,92,229,6,25,5,3
Miguel Cabrera,36.0,VEN,AL Central,1B,136,549,493,41,139,106,21,0,12,33,59,0,0,48,108,0.282,0.346,0.398,0.744,97,196,18,3,5,4
Justin Turner,34.0,USA,NL West,3B,135,549,479,80,139,88,24,0,27,51,67,2,0,51,88,0.290,0.372,0.509,0.881,131,244,11,14,5,1
Gio Urshela,27.0,COL,AL East,3B,132,476,442,73,139,84,34,0,21,55,74,1,1,25,87,0.314,0.355,0.534,0.889,132,236,13,5,4,1
Avisail Garcia,28.0,VEN,AL East,OF,125,530,489,61,138,91,25,2,20,47,72,10,4,31,125,0.282,0.332,0.464,0.796,113,227,15,7,3,2
Josh Reddick,32.0,USA,AL West,OF,141,550,501,57,138,102,19,3,14,36,56,5,2,36,66,0.275,0.319,0.409,0.728,90,205,9,0,9,1
Christian Walker,28.0,USA,NL West,1B,152,603,529,86,137,81,26,1,29,56,73,8,1,67,155,0.259,0.348,0.476,0.825,111,252,11,6,1,6
Joey Votto,35.0,CAN,NL Central,1B,142,608,525,79,137,89,32,1,15,48,47,5,0,76,123,0.261,0.357,0.411,0.768,94,216,14,4,3,2
Mike Trout,27.0,USA,AL West,OF,134,600,470,110,137,63,27,2,45,74,104,11,2,110,120,0.291,0.438,0.645,1.083,180,303,5,16,4,14
Miguel Rojas,30.0,VEN,NL East,SS,132,526,483,52,137,102,29,1,5,35,46,9,5,32,62,0.284,0.331,0.379,0.710,89,183,15,5,5,2
Randal Grichuk,27.0,USA,AL East,OF,151,628,586,75,136,71,29,5,31,65,80,2,1,35,163,0.232,0.280,0.457,0.738,93,268,20,5,2,0
Paul DeJong,25.0,USA,NL Central,SS,159,664,583,97,136,74,31,1,30,62,78,9,5,62,149,0.233,0.318,0.444,0.762,100,259,15,13,6,1
Kolten Wong,28.0,USA,NL Central,2B,148,549,478,61,136,96,25,4,11,40,59,24,4,47,83,0.285,0.361,0.423,0.784,108,202,2,13,5,5
Wilson Ramos,31.0,VEN,NL East,C,141,524,473,52,136,103,19,0,14,33,73,1,0,44,69,0.288,0.351,0.416,0.768,105,197,16,4,3,5
Willy Adames,23.0,DR,AL East,SS,152,584,531,69,135,89,25,1,20,46,52,4,2,46,153,0.254,0.317,0.418,0.735,97,222,9,3,1,1
Danny Santana,28.0,DR,AL West,UTIL,130,511,474,81,134,77,23,6,28,57,81,21,6,25,151,0.283,0.324,0.534,0.857,112,253,8,6,5,2
Christian Vazquez,28.0,PR,AL East,C,138,521,482,66,133,83,26,1,23,50,72,4,2,33,101,0.276,0.320,0.477,0.798,103,230,17,0,3,3
